et	de	en	lt	lv
"Kui ketasrootor näitab kas astmelist, ebaühtlast või ebanormaalset kulumist, pragusid, või muid kahjustusi, eemaldage pidurisadul, et kontrollida järgmist:"	"Weist die Bremsscheibe kantigen, unebenen oder anormalen Verschleiß, Risse oder andere Schäden auf, entfernen Sie den Bremssattel, um Folgendes zu inspizieren:"	"If the disc rotor exhibits any stepped, uneven, or abnormal wear, cracks, or other damage, remove the brake caliper to inspect the following:"	"Jei ant disko rotoriaus pastebite kokį nors pakopinį, netolygų ar neįprastą nusidėvėjimą, įtrūkimų ar kitokių pažeidimų, nuimkite stabdžių apkabą ir apžiūrėkite:"	"Ja diskam ir pakāpjveida, nevienmērīgs vai pārmērīgs nodilums, plaisas vai citi bojājumi, noņemiet bremžu skavu, lai pārbaudītu šādus elementus:"
"Kui kabiinivalgusti jääb pärast kõigi uste sulgemist mõneks sekundiks PÕLEMA, siis tähendab see seda, et ukse valgusti lüliti ei tööta nõuetekohaselt."	"Bleibt die Lichtkuppel für ein paar Sekunden AN, nachdem alle Türen geschlossen wurden, funktioniert der Tür-Innenschalter nicht richtig."	"If the dome light remains ON for a few seconds after all doors have been closed, this means that the door courtesy switch is not working correctly."	"Jei uždarius dureles plafonas ŠVIEČIA kelias sekundes, tai reiškia, kad durelių  vidaus apšvietimo jungiklis veikia netinkamai."	"Ja griestu lampiņa paliek IESLĒGTA dažas sekundes pēc visu durvju aizvēršanas, tas nozīmē, ka apgaismojuma slēdzis durvīs nedarbojas pareizi."
"Kui trummel on rooste tõttu jäänud tagasilla ääriku külge kinni, pange kahte hooldusavasse 8 mm nimiläbimõõduga poldid."	"Wenn die Trommel aufgrund von Rost an der hinteren Achsflansch feststeckt, bringen Sie Schrauben mit einem Nenndurchmesser von 8 mm an den zwei Servicelöchern an."	"If the drum is stuck to the rear axle flange due to rust, insert bolts with a nominal diameter of 8mm into the two service holes."	"Jei būgnas prilipo prie galinės ašies jungės dėl rūdžių, įkiškite 8 mm nominaliojo skersmens varžtus į dvi techninės priežiūros angas."	"Ja skriemelis ir iestrēdzis pie aizmugurējās ass atloka rūsas dēļ, ievietojiet skrūves, kuru nominālais diametrs ir 8 mm, abos darba caurumos."
Kui kütusepaagi korki ei kontrollita	Wenn der Tankdeckel nicht inspiziert wird	If the fuel tank cap is not inspected	Jei degalų bako dangtelis nepatikrintas	Ja degvielas tvertnes vāciņš netiek pārbaudīts
"Kui töö nõuab rohkem aega, kui lubatud,võtab hooldusmeeskonna juht töö üle."	"Wenn der Auftrag mehr Zeit in Anspruch nimmt als zulässig, übernimmt der leitende Techniker den Auftrag."	"If the job requires more time than allowed, the Technician Leader will take over the job."	"Jei darbas reikalauja daugiau laiko nei leidžiama, darbą perima technikų vadovas."	"Ja darba veikšanai nepieciešams vairāk laika, nekā atvēlēts, darbu pārņem tehniķu vadītājs."
"Kui mutter või polt on äkki lõdvenenud, siis juhul, kui vajutate palja käega, võite te teha oma sõrmedele haiget."	"Löst sich die Schraube oder Mutter plötzlich, wenn Sie mit der offenen Hand drücken, könnten Sie Ihre Finger verletzen."	"If the nut or bolt loosens suddenly, when pushing with open hand you can’t hurt your fingers."	"Jei veržlė ar varžtas staigiai atsilaisvins, jei stumsite atviru delnu, nesusižeisite pirštų."	"Ja uzgrieznis vai skrūve pēkšņi kļūst vaļīga, kad to piespiež ar atvērtu plaukstu, Jūs nesavainosiet pirktus."
Kui õli ei kontrollita/vahetata	Wenn das Öl nicht inspiziert /gewechselt wird	If the oil is not inspected / replaced	Jei alyva nepatikrinta / nepakeista	Ja eļļa nav pārbaudīta/nomainīta
"Kui PCV-ventiil on ummistunud, siis ei tõmmata karterigaasi sisselaskekollektorisse, vaid see vabaneb õhku."	"Ist das PCV-Ventil verstopft, wird das Leckgas nicht in den Ansaugkrümmer gezogen, sondern in der Luft freigesetzt."	"If the PCV valve is clogged, the blow-by gas is not taken into the intake manifold and is released into the air."	"Jei priverstinės karterio ventiliacijos vožtuvas užsikimšęs, prasiveržiančios dujos nepatenka į įleidimo kolektorių ir išleidžiamos į aplinką."	"Ja PCV vārsts ir aizsērējis, izplūdes gāzes nenokļūst ieplūdes kolektorā, bet tiek izvadītas atmosfērā."
"Kui amortisaatori tolmukatted on kaetud määrdega, siis see viitab amortisaatori lekkele."	"Sind die Staubabdekungen des Stoßdämpfers mit Schmierfett bedeckt, hat der Stoßdämpfer wahrscheinlich ein Leck."	"If the shock absorber dust covers are covered with grease, this indicates a leaking shock absorber."	"Jei amortizatoriaus apsauginiai gaubteliai padengti tepalu, vadinasi, amortizatorius nesandarus."	"Ja uz amortizatora putekļu pārsega ir smērviela, tas liecina, ka amortizatoram ir noplūde."
"Kui rool keeratakse ühte lukustusasenditest, paiskub vedelik hüdraulikasüsteemi ühte ossa, põhjustades rõhu suurenemise."	"Befindet sich das Lenkrad in einer der Verriegelungspositionen, wird die Flüssigkeit auf eine Seite des Hydrauliksystems gedrängt und verursacht dort Druck."	"If the steering wheel is turned to either one of the lock positions, the fluid is forced to one side of the hydraulic system causing a pressure increase."	"Jei vairaratis pasuktas į vieną iš užrakinimo padėčių, skystis suteka į vieną hidraulinės sistemos pusę ir padidėja slėgis."	"Ja stūre tiek pagriezta kādā no bloķēšanas pozīcijām, šķidrums tiek iespiests vienā hidrauliskās sistēmas pusē, palielinot spiedienu."
"Kui paksus jääb alla kulumispiiri , tuleb piduriklotsid välja vahetada."	"Ist die Dicke geringer als die Verschleißgrenze, tauschen Sie die Bremsschuhe aus."	"If the thickness is less than the wear limit, replace the brake shoes."	"Jei storis yra mažesnis už nusidėvėjimo ribą, pakeiskite stabdžių trinkeles."	"Ja biezums ir mazāks nekā nodiluma robeža, nomainiet bremžu lokus."
Kui rehvid ei ole kontrollitud	Wenn die Reifen nicht inspiziert werden	If the tires are not inspected	Jei padangos nėra patikrintos	Ja riepas netiek pārbaudītas
"Kui vahendit ei saa ruumipuuduse tõttu kätte, lükake seda käega."	"Wenn das Werkzeug nicht gezogen werden kann, weil nicht ausreichend Platz ist, drücken Sie es mit der Handfläche."	"If the tool cannot be pulled because of space restrictions, push it with the palm of your hand."	"Jei įrankio neįmanoma ištraukti dėl per ankštos erdvės, pastumkite jį delnu."	"Ja instrumentu nevar izvilkt telpas ierobežojumu dēļ, piespiediet to ar rokas delnu."
"Kui seda juhist ei järgita, võivad ilmneda probleemid. Näiteks võib mehaanik soovida tööd alustada, kuid varuosasid pole veel tellitud."	"Wird dieser „Pfad“ nicht korrekt befolgt, können Probleme auftreten, etwa dass ein Mechaniker einen Auftrag ausführen will, die Teile jedoch noch nicht mal bestellt worden sind."	"If this “path” is not followed correctly problems can occur, for example a mechanic wants to start a job, but the parts have not even been ordered yet."	"Jei šio „kelio“ laikomasi nenuosekliai, gali iškilti keblumų, pavyzdžiui, mechanikas jau gali norėti pradėti darbą, bet dalys dar net nebuvo užsakytos."	"Ja šis ""virziens"" netiek precīzi ievērots, var rasties problēmas, piemēram, mehāniķis vēlas uzsākt darbu, bet detaļas nav pat vēl pasūtītas."
Ventiili pole kontrollitud	Wenn das Ventilspiel nicht überprüft wird	If valve clearance is not checked	Jei vožtuvo tarpas nėra patikrinamas	Ja vārstu siltumatstarpe netiek pārbaudīta
"Vertikaalse lõtku tuvastamise korral rakendage piduripedaali survetööriista abil pidurid, et kõrvaldada rattalaagri lõtk."	"Stellen Sie vertikales Spiel fest, betätigen Sie die Bremsen, indem Sie das Werkzeug für den Druck des Bremspedals verwenden, um das Spiel des Radlagers zu unterbinden."	"If vertical play is detected, apply the brakes using the brake pedal pressure tool to eliminate wheel bearing play."	"Jei pastebėsite vertikalaus judėjimo laisvumą, įjunkite stabdžius stabdžių pedalo spaudimo įrankiu, kad pašalintumėte rato guolio laisvumą."	"Ja tiek konstatēta vertikāla brīvkustība, iedarbiniet bremzes, izmantojot bremžu pedāļa nospiešanas rīku, lai novērstu riteņa gultņa brīvkustību."
"Pildil [4] on näidatud teenindusprotsess, milles tehnik teeb hooldus- ja parandustöid."	"Auf Abbildung [4] ist der Verlauf der Leistung dargestellt, bei der der Techniker die Wartung und die Reparaturarbeiten durchführt."	"Image [4] shows the service process, in which the Technician performs maintenance and repair work."	"Paveikslėlyje [4] vaizduojamas techninės priežiūros procesas, kurio metu technikas atlieka priežiūrą ir remontą."	"[4] attēlā ir parādīts apkopes process, kurā tehniķis veic apkopi un remontdarbus."
"Pildil [ 5 ] on näiidatud lõppkontrolli toimingud, mille käigus hooldustehnik määratleb tööd, mis on vaja ära teha."	"Auf Abbildung [5] ist der Verlauf der Endkontrolle dargestellt, bei der der Techniker die Arbeit bestimmt, die verrichtet werden muss."	"Image [5] shows the final inspection process, in which the Technician notes the work that must be done."	"[5] pav. pavaizduota galutinė patikra, kurios metu technikas pažymi, kokius darbus reikia atlikti."	"[5] attēlā ir parādīts nobeiguma pārbaudes process, kurā tehniķis atzīmē veicamo darbu."
"Lisaks kontrollige mõrasid, rebendeid ja muid kahjustusi tolmukaitsel. 2."	"Überprüfen Sie zusätzlich auf Risse, Sprünge oder andere Schäden auf den Staubabdeckungen. 2."	"In addition, check for cracks, tears or other damage on the dust covers. 2."	"Taip pat patikrinkite apsauginius gaubtelius, ar nėra įtrūkimų, įdrėskimų ar jie kitaip nepažeisti. 2."	"Turklāt pārbaudiet, vai uz putekļu aizsargiem nav plaisu, plīsumu vai citu bojājumu. 2."
"Selles näites:  A = 55,5 (mm) 2."	In diesem Beispiel: A = 55.5 (mm) 2.	In this example: A = 55.5 (mm) 2.	Šiame pavyzdyje: A = 55.5 (mm) 2.	"Šajā piemērā: A = 55,5 (mm) 2."
Selles osas käsitletakse teemat „Sõiduki tõstmine“.	In diesem Abschnitt wird das Thema „Hebebühne“ behandelt.	In this section the topic “Car Lift” will be discussed.	Šiame skyriuje aptariama tema „Automobilio keltuvas“.	"Šajā sadaļā ir aptverta tēma ""Automobiļa pacēlājs""."
Ebatõhus käsipidur	Ineffiziente Stellbremse	Ineffective parking brake	Stovėjimo stabdys veikia netinkamai	Stāvbremze nedarbojas
Esmane ülevaatus esimese 120 kuu jooksul alates sõiduki registreerimiskuupäevast	Anfangsinspektion innerhalb der ersten 120 Monate ab Registrierungsdatum des Fahrzeugs.	Initial inspect at first 120 months from the vehicle registration date	Pradinė patikra per 120 mėnesių po transporto priemonės registravimo datos	"Sākotnēji pārbauda pēc 120 mēnešiem, sākot no transportlīdzekļa reģistrācijas dienas"
Sisediameeter ja pikkusemõõt	Innendurchmesser und Längenmessung	Inside diameter and length measurement	Vidinis skersmuo ir ilgio matavimas	Iekšējā diametra un garuma mērījums
Kontrollige iga 195 000 km (121 000 miili) või 120 kuu järel.	Inspizieren Sie alle 195.000 km (121.000 Meilen) oder 120 Monate	Inspect every 195.000 km (121.000 miles) or 120 months	Apžiūrėkite kas 195 000 km (121 000 mylių) arba kas 120 mėnesių	Pārbaudiet ik pēc 195 000 km (121 000 jūdzēm) vai 120 mēnešiem
"Kontrollige polte ja mutreid järgmistes kohtades lõdvenemise suhtes, tehes ringi ümber sõiduki:"	Inspizieren Sie während des Rundgangs um das Fahrzeug die Schrauben und Muttern in den folgenden Bereichen auf Lockerungen:	Inspect the bolts and nuts in the following areas for looseness during the rotation around the vehicle:	Apžiūrėkite ar neatsilaisvinę varžtai ir veržlės šiose srityse aplink variklį sukimosi metu:	"Izpildot darbus veikšanas kārtībā transportlīdzeklim, pārbaudiet, vai uzgriežņi un skrūves nav vaļīgas šādās vietās:"
"Kontrollige hõõrdkatet murenemise, kihistumise või muude kahjustuste suhtes."	"Inspizieren Sie, ob der Bremsbelag abblättert, sich ablöst oder andere Shcäden aufweist."	"Inspect the brake lining for any chipping, delaminating or other damage."	"Patikrinkite, ar stabdžių trinkelių antdėklai neištrupėję, neišsisluoksniavę ir kitaip nepažeisti."	"Pārbaudiet, vai bremžu uzlikām nav robojumu, atslāņošanās pazīmju vai citu bojājumu."
Kontrollige söekanistrit kahjustuste osas.	Inspizieren Sie den Aktivkohlebehälter auf Schäden.	Inspect the charcoal canister for damage.	"Patikrinkite, ar nepažeistas anglies filtras."	"Pārbaudiet, vai ogles filtrs nav bojāts."
Sujuvaks töötamiseks kontrollige vaakumventiili.	Inspizieren Sie das Vakuumventil für störungsfreien Betrieb.	Inspect the vacuum valve for smooth operation.	"Patikrinkite, ar vakuminis vožtuvas veikia tolygiai."	"Pārbaudiet, vai vakuumvārsts darbojas vienmērīgi."
"Kontrollige, kas pedaali käik on standardses vahemikus."	"Überprüfen Sie, ob das Pedalspiel im Standardbereich liegt."	Inspect whether the pedal play falls within the standard range.	"Patikrinkite, ar pedalo judėjimo laisvumas neperžengia nustatytų ribų."	"Pārbaudiet, vai pedāļa brīvgājiens atbilst standarta vērtībām."
Kontrollida/vahetada käigukasti õli vastavalt läbisõidule või möödunud ajale.	Inspizieren/wechseln Sie das Getriebeöl je nach Kilometerstand oder nach verstrichener Zeit.	Inspect/change the gear oil according to the mileage or amount of time elapsed.	Patikrinkite / pakeiskite transmisinę alyvą atsižvelgdami į kilometražą ar praėjusį laiką.	Pārbaudiet/nomainiet eļļu atbilstoši nobraukumam vai aizritējušā laika apjomam.
Kontrollimismeetod	Methode der Inspektion	Inspection method	Patikros būdas	Pārbaudes metode
Automaatregulaatori toimingu ülevaatus	Inspektion des Automatikbetriebs des Einstellers	Inspection of the auto adjuster operation	Automatinio derintuvo veikimo patikra	Automātiskā regulētāja darbības pārbaude
Paigaldage pidurivedeliku vaheti.	Bringen Sie den Bremsflüssigkeitswechsler an.	Install the brake fluid changer.	Sumontuokite stabdžių skysčio keitiklį.	Uzstādiet bremžu šķidruma nomainītāju.
Paigaldage pidurivedeliku vahetaja: Laske pisut pidurivedelikku piduri peasilindri paagist välja.	Bringen Sie den Bremsflüssigkeitswechsler an: Schütten Sie etwas Bremsflüssigkeit aus dem Vorratsbehälter des Hauptbremszylinders.	Install the brake fluid changer: Poor out some brake fluid from the brake master cylinder reservoir tank.	Sumontuokite stabdžių skysčio keitiklį: išpilkite šiek tiek stabdžių skysčio iš stabdžių pagrindinio cilindro rezervuaro.	Bremžu šķidruma nomainītāja uzstādīšana: Izteciniet nelielu daudzumu bremžu šķidruma no bremžu galvenā cilindra rezervuāra tvertnes.
Paigaldage kütusefilter käsitsi kütusefiltri kronsteinile.	Bringen Sie den Kraftstofffilter von Hand an den Kraftstofffilter-Halter an.	Install the fuel filter on the fuel filter bracket by hand.	Rankomis įdėkite degalų filtrą į degalų filtro laikiklį.	Uzstādiet degvielas filtru uz degvielas filtra balsteņa ar rokām.
Paigaldage kork (1).	Bringen Sie den Loch-Stecker an (1).	Install the hole plug (1).	Įkiškite angos kaištį (1).	Uzstādiet atveres aizbāzni (1).
Juhised	Anweisungen	Instructions	Instrukcijos	Norādījumi
Mitteküllaldane klapi puhtus	Unzureichendes Ventilspiel	Insufficient valve clearance	Nepakankamas vožtuvo tarpas	Nepietiekama vārstu siltumatstarpe
Kollektori poole sisend	Seitlicher Ansaugkrümmer	Intake manifold side	Įleidimo kolektoriaus pusė	Ieplūdes kolektora puse
Sisendiklapid 5.	Einlassventile 5.	Intake valves 5.	Įleidimo vožtuvai 5.	Ieplūdes vārsti 5.
Sisevalgustus (lülitus ja uks)	Innenlicht (Schalter und Betrieb durch Tür)	Interior light (switch and door operated)	Salono lemputė (įjungiama jungikliu ir atidarytomis durimis)	Iekšējo apgaismojumu (ieslēdzams ar durvīm darbināmu slēdzi)
Perioodilise hoolduse sissejuhatus	Einführung in die regelmäßige Wartung	Introduction to Periodic Maintenance	Įvadas į periodinę techninę priežiūrą	Ievads periodiskajā apkopē
